MPA,Islas_estudio,RP,SB,S,C,Estudio,Type,Grupo de estudio,Number,Topic,year,Titulo,Autor,Resumen,Indicadores 
Revillagigedo y Espíritu Santo,Socorro,NA,NA,S,NA,Comparación,Tesis,Peces_c,1,Telemetría,2020,"Movimientos, residencia y preferencias ambientales del tiburón martillo en dos archipiélagos: Revillagigedo y Espíritu Santo, México","Aldana-Moreno, Alejandro","Las poblaciones de tiburón martillo común (TMC), Sphyrna lewini, han disminuido a nivel mundial debido a la sobrepesca y actualmente se le considera una especie en peligro crítico (UICN). En el Archipiélago Espíritu Santo (AES), se ha observado un descenso del 90 % desde los años 80s a la fecha, el cual fue considerado un santuario para los tiburones martillo, mientras que el Archipiélago Revillagigedo (AR), representa actualmente un hábitat importante y un refugio para estos tiburones. Este estudio describe los movimientos, la residencia y preferencias ambientales de los TMC en dos archipiélagos: Revillagigedo y Espíritu Santo. Se capturaron y marcaron con telemetría acústica a 53 individuos y a cinco con marcas satelitales MiniPAT durante el 2009-2019 y se instaló una red de 60 receptores acústicos distribuidos en ambas regiones. En el AR, los TMC presentaron un intervalo de tallas de 140-300 cm LT con una proporción por sexo sesgada hacia las hembras (H: M= 1.44: 0.40). En el AES, los TMC tuvieron un intervalo de 107-250 cm LT con una proporción por sexo balanceada (H: M= 1: 1). Se registraron 65,179 detecciones en el AR y 8,670 en el AES. En el AR, los TMC presentaron un patrón de movimientos diarios residiendo durante la fase diurna cercanos a la Isla de San Benedicto alejándose del intervalo de detección durante la noche con fines de alimentación. En cambio, en la Isla Roca Partida y el AES este patrón no fue tan evidente, posiblemente con una gran disponibilidad de presas potenciales cercanas. Se observó un movimiento interinsular en el AR, de un TMC que se movió de SB a RP. En el AES, se registró a otro TMC que se movió de EBES a Las Animas. Con el método de marcaje y recaptura, se obtuvo un porcentaje de recaptura de 9.7%, registrando movimientos migratorios hacia la Bahía La Paz, Cabo Pulmo y el área de crianza de La Reforma, Sinaloa. Evidenciando movimientos interconectados entre un sitio de agregación y un área de crianza. La residencia y uso de hábitat de los TMC en el AR fue mayor en Cañón y Dedos, SB. Mientras que, en el AES, solo fueron residentes en EBES. Presentando preferencia a sitios centrales de agregación. Los TMC marcados con dispositivos MiniPAT en el AR, mostraron evidencia de conectividad entre la Isla RP y el monte submarino Bernoulli, asociadas a las características batimétricas y a las condiciones oceanográficas como corrientes, termoclina y profundidad. En el AES, se presentaron movimientos a gran escala de tres tiburones moviéndose entre hábitats insulares rumbo al norte del GC, hasta llegar a las islas de Loreto, y regresar eventualmente a los mismos sitios por lo que se observa una fidelidad al sitio del AES. Presentaron movimientos verticales oscilatorios más profundos y amplio durante la fase nocturna en comparación con la fase diurna, se observó que el 70 % del tiempo permanecieron en la capa de mezcla entre los intervalos de profundidad de 30-60 en el AR. En cambio, en el AES, los perfiles de movimientos verticales fueron más oscilatorios no diferenciándose de la capa de mezcla. Estos datos generan una línea de base para un monitoreo efectivo y para mejorar la conservación y el manejo del TMC S. lewini, considerados en peligro crítico. La actual expansión en el Parque marino AR y la reserva marina del AES probablemente permitirán la protección y preservación de esta especie alrededor de hábitats interconectados para ayudar a los tomadores de decisiones en el desarrollo de estrategias de gestión.",Marcas acústicas
Revillagigedo,Socorro y Clarión ,NA,NA,S,C,Directo,Artículo,Invertebrados,1,Sistematica ,2020,"First detection of an ocellate octopus in the Revillagigedos ecoregion, a biodiversity hotspot located in the Tropical East Pacific Province","A. Valdez?Cibrián, M. Díaz-Santana-Iturrios, V. Landa?Jaime, J. E. Michel?Morfín","La biodiversidad de moluscos, particularmente de cefalópodos, no ha sido determinada exhaustivamente en la ecorregión de Revillagigedos, que es un punto caliente de biodiversidad para varios grupos marinos localizados en la Provincia del Pacífico Este Tropical. En nuestro estudio, detectamos y examinamos pulpos ocelados de las islas Socorro y Clarión, y determinamos su identidad utilizando criterios morfológicos y datos moleculares de dos genes mitocondriales (COIII y COI). El taxón identificado fue Octopus oculifer, una especie considerada endémica del archipiélago de Galápagos. Además, según nuestros análisis, O. mimus, O. hubbsorum y O. oculifer están muy estrechamente relacionados y pueden representar un complejo de especies compuesto por tres morfotipos. Hemos descubierto que las relaciones evolutivas entre los pulpos no están determinadas por la presencia de ocelos. Este estudio es el primero en reportar un clado representado por especies oceladas y no oceladas, además, la identidad de los cefalópodos en los Revillagigedos fue determinada con apoyo analítico.",ADN mitocondrial (COIII y COI)
"Revillagigedo, Clipperton, Galápagos","Clarión, Socorro, Benedicto",NA,SB,S,C,Comparación,Artículo,Ecología,1,Ecología ,2019,Patterns in Bathyal Demersal Biodiversity and Community Composition Around Archipelagos in the Tropical Eastern Pacific,"J. Giddens, W. Goodell, A. Friedlander, P. Salinas-de-León, C. Shepard, B. Henning, E. Berkenpas, E. Sala, Alan J. Turchik","La fauna de las profundidades oceánicas del Pacífico Oriental Tropical (POT) ha permanecido en gran medida sin describir debido a que la exploración ha sido históricamente un reto en estos lugares remotos. En consecuencia, poco se sabe actualmente de la biodiversidad de las profundidades oceánicas del TEP. Una mejor comprensión de los patrones biogeográficos y de los factores que influyen en ellos es crucial para el éxito de los esfuerzos de conservación de las comunidades de aguas profundas. Los objetivos de esta investigación eran proporcionar la primera evaluación de la biodiversidad y la composición comunitaria de la fauna demersal batial (200 - 3.000 m) en múltiples archipiélagos oceánicos/isleños del TEP. Para comprender mejor la biodiversidad y los factores que la impulsan en la región, pusimos a prueba la hipótesis de que la biodiversidad y la composición de la fauna varían en función de la ubicación y los factores ambientales (por ejemplo, la batimetría y la concentración de oxígeno). Utilizando Dropcams de alta mar, recogimos imágenes de vídeo de Clipperton, Galápagos, Revillagigedos y Malpelo, a profundidades comprendidas entre 200 y 3.000 m. Se calculó la riqueza de taxones, la diversidad de Shannon y la diversidad de Simpson para cada lugar. En general, los valores de biodiversidad fueron altos cerca del ecuador y más cerca del continente, y bajos en las localidades más al norte y más al oeste. La biodiversidad de familias de peces fue mayor en Galápagos, seguida de Malpelo. En cambio, en Clipperton la riqueza de familias de peces fue significativamente menor que en el resto de los lugares. En cuanto a los órdenes de invertebrados, la biodiversidad de los Revillagigedos fue significativamente inferior a la de Galápagos y Malpelo. El Índice de Posición Batimétrica (IPB) a gran escala y el oxígeno disuelto tuvieron un efecto positivo sobre las métricas de diversidad de peces. Tanto los ensamblajes de peces como los de invertebrados fueron significativamente diferentes entre los distintos lugares. Alrededor de cada uno de los grupos de islas hay patrones de corrientes muy diferentes, lo que probablemente explica parte de la variación que observamos en la biodiversidad y la composición de las comunidades. Debido a la elevación longitudinal del Pacífico Oriental, que limita la conectividad de las poblaciones al crear una barrera espacial para el flujo genético y la dispersión entre los organismos marinos, el TEP está en gran medida aislado del Pacífico en general. Las islas y los archipiélagos representan probablemente importantes puntos de paso y corredores para la conectividad de las especies entre el TEP y el Pacífico. Por lo tanto, la conservación de estos ecosistemas intactos es crucial para mantener la biodiversidad tanto dentro del TEP como en toda la región del Pacífico.","Diversidad de Shannon, Simpson. Riqueza específica"
Revillagigedo,Todas,RP,SB,S,C,Directo,Artículo,Peces_c,1,Distribución/Residencia,2019,Residency and diel movement patterns of the endangered scalloped hammerhead Sphyrna lewini in the Revillagigedo National Park,"A. Aldana-Moreno, E. M. Hoyos-Padilla, R. González-Armas, F. Galván-Magaña, A. Hearn, A.P. Klimley, W. Winram, E.E. Becerril-García, J.T. Ketchum","Este estudio es la primera descripción de la residencia y los movimientos diurnos de Sphyrna lewini en el Parque Nacional Revillagigedo, México. Once tiburones martillo adultos de una longitud total de 200-300 cm fueron monitoreados utilizando telemetría acústica durante 2013-2015 en cuatro sitios en la isla de San Benedicto. Se describieron patrones diurnos y de residencia basados en 58055 detecciones por cuatro receptores autónomos. Los tiburones mostraron una alta residencia diurna en dos de los cuatro sitios, con movimientos de alejamiento hacia el medio pelágico por la noche. Este estudio genera una base de referencia para un seguimiento eficaz que mejore la conservación y gestión de una especie emblemática pero amenazada en esta reserva marina.",Índice de residencia (número de días en que se detectó un tiburón ÷ número de días transcurridos desde el marcado hasta la última detección. )
Revillagigedo,NA,NA,NA,NA,NA,Directo,Artículo,Peces_c,1,Simbiosis ,2019,"Presence of Remora remora on Mobula birostris in Revillagigedo National Park, Mexico","E. E. Becerril-García, M. A. Gutiérrez-Ortiz, P. A. Preciado-González, A. Ayala-Bocos","La ecología de las mantas y los equénidos en el Pacífico Oriental Tropical es poco conocida. En este estudio describimos la frecuencia de las interacciones entre la vulnerable Mobula birostris y su simbionte Remora remora basándonos en observaciones de científicos y turistas en un área marina protegida. Los datos se obtuvieron analizando fotografías submarinas de mantas observadas con rémoras a lo largo de 139 días de buceo en el mar durante el periodo 2016-17. En total, hubo 271 registros fotográficos de esta simbiosis, correspondientes a 207 mantas, con una media (±s.d.) de 1,6 ± 0,6 rémoras por manta. Este estudio es el primero en proporcionar información relativa a la proporción de sexos, longitud, frecuencia de morfotipos y equeneidos por manta de M. birostris en el Pacífico Oriental Tropical.",Análisis de fotografías submarinas
Revillagigedo y Clipperton ,Todas,RP,SB,S,C,Comparación,Artículo,Peces_c,1,Ecología,2019,Reef fish structure assemblages in oceanic islands of the eastern tropical Pacific: Revillagigedo Archipelago and Clipperton atoll,"M. Fourriére, H. Reyes-Bonilla, C. M. Galván-Villa, A. Ayala-Bocos, F. A. Rodríguez-Zaragoza","El archipiélago de Revillagigedo y el atolón de Clipperton son islas oceánicas situadas en el Pacífico oriental tropical. La composición y la estructura trófica de sus ensamblajes de peces nunca se han caracterizado en detalle, por lo que el objetivo de este estudio fue analizar la estructura comunitaria y evaluar la similitud de los ensamblajes de peces entre estas dos zonas. Se realizaron censos visuales submarinos de peces utilizando transectos de bandas a dos niveles de profundidad en tres islas del archipiélago de Revillagigedo (Socorro, San Benedicto y Roca Partida) y en el atolón de Clipperton. Se calcularon índices ecológicos (densidad, riqueza, diversidad de Shannon, uniformidad de Pielou y distintividad taxonómica) para cada transecto. Éstos se compararon para determinar las diferencias cuantitativas entre las islas y los niveles batimétricos. También se realizaron análisis cualitativos (A OSIM, nMDS y SIMPER). Por último, se analizó la estructura trófica de los ensamblajes y la diversidad funcional de los cuatro lugares estudiados. Los resultados mostraron diferencias significativas para todos los índices, excepto la diversidad (H?). Roca Partida fue el sitio con mayor abundancia y riqueza debido a la presencia de especies pelágicas en gran número. No se encontraron diferencias significativas en la diversidad funcional, lo que sugiere un alto grado de redundancia ecológica. Los carnívoros de nivel inferior, con valores medios de nivel trófico entre 3,3 y 3,8, dominaron ambas zonas. El análisis de ordenación no mostró una clara diferencia en la composición de peces entre las islas, aunque el atolón de Clipperton tiene una fauna particular caracterizada por especies endémicas (Thalassoma robertsoni y Stegastes baldwini). En conclusión, las comunidades de peces de las zonas estudiadas parecen bastante similares, pero su estructura de ensamblaje difiere. En particular, Clipperton se diferencia por la influencia de las especies endémicas.",índices ecológicos 
Revillagigedo,Socorro,NA,NA,S,NA,Directo,Tesis,Aves,1,Ecología,2019,Diagnóstico de la población reproductiva de Pardela de Islas Revillagigedo (Puffinus auricularis) en Isla Socorro,"Hernández-Mendoza, I.C","Las aves marinas son un grupo importante porque vinculan el ambiente aéreo, terrestre y marino, por lo que funcionan como indicadores del estado de salud de los ecosistemas marinos. A pesar de ello, son de los grupos de aves más amenazados, tal es el caso de la Pardela de Islas Revillagigedo, especie endémica del Archipiélago de Revillagigedo que se encuentra En Peligro Crítico de Extinción debido a que su zona de anidación actual se restringe a la isla Socorro, en el Archipiélago de Revillagigedo donde ha sufrido depredación por gatos que fueron introducidos en 1957. La información disponible sobre la Pardela de Islas Revillagigedo es limitada desde que fue descubierta en 1890, y siendo que los registros históricos se realizaron con base en avistamientos o vocalizaciones, la cantidad de individuos reportada es variable. En este contexto, el presente estudio tiene como objetivo conocer diferentes aspectos de la biología reproductiva de la especie y su comportamiento así como los elementos que determinan la elección en los sitios de anidación en la isla. Con el fin de determinar dichos elementos, se utilizaron mapas de vegetación, suelo y un Modelo Digital de Elevación (MDE) que permitió extraer variables como la altitud, orientación y pendiente. Además, se utilizó el programa MaxEnt para modelar el nicho ecológico potencial y otras herramientas que permitieran conocer otros aspectos de vida y sus amenazas. En ese sentido, se encontró que la pardela, especie de hábitos nocturnos y que habita en madrigueras, prefiere sitios con matorral mixto y a una altitud superior a los 800 msnm, los cuales son sitios de difícil acceso. Cuantificar la población reproductiva resulta importante para proponer y realizar medidas de conservación. En este estudio se concluyó que en la zona de anidación habitan 21 parejas reproductivas, sin embargo ,es importante continuar con la búsqueda y explorar en las otras islas del Archipiélago (Isla San Benedicto e Isla Clarión, parte del Archipiélago de Revillagigedo) para robustecer el estudio y conocimiento de la Pardela de Islas Revillagigedo.",Modelos de nicho ecológico y muestreos
Revillagigedo,Todas,RP,SB,S,C,Comparación con Bahía Banderas,Tesis,Peces_c,1,Contaminación,2019,Plastic pollution as a potential threat for oceanic manta rays in the mexican pacific ocean,"Pelamatti, T.","Las mantas gigantes oceánicas, Mobula birostris, filtran grandes volúmenes de agua al alimentarse de zooplancton. Por esta razón, están potencialmente expuestas a la basura marina. Los plásticos ingeridos pueden liberar compuestos tóxicos adsorbidos y aditivos de la producción del plástico (e.g. ftalatos, que son usados como indicadores de ingestión de plástico en los tejidos animales), los cuales son reconocidos disruptores endocrinos y tóxicos para muchas especies marinas. La población de mantas gigantes del Golfo de California se ha reducido drasticamente en las últimas decadas, haciendo del Archipiélago de Revillagigedo (AR) y Bahía de Banderas (BB) sus últimos refugios y áreas de agregación en el Pacífico Mexicano. Se colectaron muestras de plancton (n=94 in BB, n=47 in AR) con una red manta (malla de 333µm): se encontraron plásticos flotantes en ambas areas y se determinaron: abundancia, estacionalidad, clases de talla y composición a través de espectometría de infrarrojo (µFT-IR). Muestras de piel y músculo (n=38) de mantas gigantes fueron colectadas durante buceo libre y scuba usando una vara hawaiiana con una punta especial, se realizó una extracción y análisis químico para determinar la concentración de ftalatos, compuestos organoclorados (OCs) e hidrocarburos aromaticos policiclicos (PAHs). Los mismos compuestos fueron analizados también en los plásticos (n=15) encontrados en ambas áreas, para determinar la concentración de contaminantes adsorbidos en la superficie de los desechos plásticos. Se encontró una marcada estacionalidad en la abundancia de plasticos flotantes en BB, probablemente derivado de la descarga causada por las lluvias en la estación de huracanes. En el AR la abundancia de plásticos fue homogénea en las cuatro islas. La falta de información en la temporada de huracanes hace difícl la determinación de un patrón de estacionalidad. En ambas áreas, 3 de cada 4 plásticos fueron menores a 5mm de largo, lo que sugiere que son biodisponibles para ser ingeridos desde los eslabones mas bajos de la red trófica. Se encontraron PAHs, PCBs y DDTs adsorbidos en los plásticos. En las muestras de manta gigante se encontraron PAHs y PCBs, mientras que no se detectaron pesticidas ni ftalatos, lo cual sugiere que la ingestión de plástico en las mantas no está pasando, o que es un evento raro y no llegan a detectarse plastificantes en músculo y piel. Estos resultados constituyen una linea base sobre la contaminación de plásticos en las dos áreas, y son el primer estudio de contaminantes orgánicos en mantas gigantes a nivel mundial.",Análisis químico
Revillagigedo,Todas,RP,SB,S,C,Directo,Artículo,Invertebrados,1,Taxonomía de gorgonias ,2018,"Two new endemic species of Gorgoniidae (Cnidaria, Anthozoa, Octocorallia) from Revillagigedo Archipielago, Mexico","U. Olvera, O. Hernández, C. Sánchez, J. Gómez-Gutiérrez","Se descubrieron dos nuevas especies de los géneros Eugorgia y Leptogorgia durante la recolección submarina en el Archipiélago de Revillagige- do, México. La diversidad de especies de abanicos de mar y la densidad de población en estas cuatro islas volcánicas es baja (<12 spp.), y la posibilidad de endemismo es alta dado su aislamiento del continente (403 km al suroeste de Cabo San Lucas, península de Baja California). Las características morfológicas sugieren que Eugorgia wilkiei sp. nov. tiene una estrecha relación con especies del grupo daniana, particularmente con Eugorgia multifida Verrill, 1870. Sin embargo, E. wilkiei sp. nov. tiene colonias irregular-pinnadas densamente ramificadas que crecen en varios planos simples o flabeliformes multiplanares, y muestra dos cromotipos distintos (amarillo o rojo). Leptogorgia waltonae sp. nov. se añade aquí al grupo ena porque es similar en tamaño y escleritos a Leptogorgia ena Breedy et al. 2012. Sin embargo, las ramitas terminales verrugosas que representan una ampliación del eje (pero no el coenénquima que tiene el mismo grosor en toda la colonia), la ramificación lateral en ángulo de 90° y la gama de coloración roja, púrpura, naranja o amarilla de las colonias son los principales caracteres taxonómicos para distinguir L. wal- tonae sp. nov. de L. ena. Observaciones de buceo en cerca de 200 localidades de muestreo realizadas desde 1995 hasta 2016 a lo largo de la costa del Pacífico mexicano, incluyendo el Golfo de California, indican que ambas nuevas especies de octocorales se distribuyen únicamente en las islas de Revil- lagigedo. El Archipiélago de Revillagigedo está rodeado de aguas oceánicas oligotróficas, fuertes corrientes marinas y perturbaciones relativamente frecuentes por huracanes que favorecen colonias de abanicos de mar pequeñas o robustas y duras y resistentes, baja diversidad de especies y baja densidad de población. Estos factores pueden potenciar los procesos de especiación que sustentan el endemismo comparativamente elevado de la fauna bentónica de las islas, así como","Identificación morfológica,  toma de fotografías y descripciones taxonómicas a partir de holotipos, lectotipos y otros especímenes de octocorales de la UABCS"
Revillagigedo,Todas,RP,SB,S,C,Directo,Artículo,Protista,1,Ocurrencia de microalga,2018,"Occurrence of Ostreopsis lenticularis (Dinophyceae: Gonyaulacales) from the Archipiélago de Revillagigedo, Mexican Pacific","I. Gárate-Lizárragaa?, R. González-Armasa, Y.B. Okolodkov","De diciembre de 2016 a mayo de 2017, se recolectaron 22 muestras superficiales de fitoplancton con una red de malla de 20-?m en tres islas del Archipiélago de Revillagigedo (Partida, Socorro y San Benedicto), Pacífico mexicano. La profundidad de los sitios era de aproximadamente 20-80 m; la temperatura superficial del agua era de 21-27 °C. El dinoflagelado bentónico potencialmente tóxico Ostreopsis lenticularis estaba presente en todas las muestras. Las células tenían una forma lenticular a ampliamente ovalada, 65-100 ?m de largo y 50-80 ?m de ancho. La taxonomía del género Ostreopsis ha sido poco clara debido a la atribución equívoca de algunas características taxonómicas entre las especies. La identificación de los especímenes del archi- pelago se realizó basándose en las características taxonómicas más importantes: las placas tebáceas, la presencia de dos tipos de poros tebáceos (más grandes y más pequeños) y la falta de ondulación del cíngulo. Las células estudiadas se comparan con O. cf. siamensis, O. labens y O. marina. Se trata del primer registro de la especie en aguas del archipiélago.",Identificación taxónomica de los especímenes recolectados de las 22 muestras superficiales de fitoplancton 
Revillagigedo,Clarión,NA,NA,NA,SI,Directo,Artículo,Peces_o,1,Anatomía ,2018,"Albinismo parcial en la chopa de Revillagigedo Kyphosus sectatrix (Perciformes: Kyphosidae) de la isla Clarión, México","O. Valencia-Méndez , O. Domínguez-Domínguez, A. López-Pérez c, J. E. Martínez-Gómez , A. Ayala-Bocos ","Kyphosus sectatrix se distribuye ampliamente en aguas cálidas de todo el mundo, desde el Pacífico occidental hasta el Pacífico oriental (incluyendo el archipiélago de Revillagigedo), el océano Índico, el Atlántico, el mar Rojo y el Mediterráneo, habitando arrecifes rocosos y coralinos someros. En marzo de 2016, durante una expedición científica en isla Clarion, archipiélago de Revillagigedo, observamos a un individuo de K. sectatrix con una coloración anormal, cuerpo enteramente blanco con ojos negros, anormalidad conocida como albinismo parcial; una condición contraria al xantismo (completamente amarillo o con manchas negras) conmumente observado en poblaciones de K. sectatrix. Este registro representa el primer reporte de albinismo parcial en K. sectatrix para el Pacífico mexicano.","El espécimen fue visto y fotografiado en un arrecife rocoso, a 10 m de profundidad"
Revillagigedo,"Roca Partida, San Benedicto y Socorro",RP,SB,S,NA,Directo,Tesis maestría ,Peces_c,1,Distribución,2018,Distribución espacio-temporal y preferencias ambientales de tiburones en el área natural protegida Archipiélago de Revillagigedo,C. Cortés-Fuentes ,"Se ha observado que diferentes especies de tiburones cohabitan en las mismas zonas, debido al uso diferencial del hábitat. Este puede estar relacionado con la disponibilidad de presas, el tipo de hábitat y las condiciones ambientales, entre otros factores. Además, las variaciones ambientales pueden influir en la distribución y abundancia de los tiburones dentro de los ecosistemas marinos. Es importante comprender cómo responden las especies a los cambios en su entorno, debido a los crecientes impactos antropogénicos en los ambientes marinos. Por lo tanto, realizar estudios en áreas naturales protegidas puede servir como un mejor modelo de estudio. En este trabajo se describe la variación espacial y temporal de los tiburones del Parque Nacional Revillagigedo. Para esto, se realizaron 380 censos visuales submarinos de tiburones en 6 sitios de buceo alrededor de 3 islas del archipiélago durante 2 temporadas (diciembre de 2015 a junio de 2016 y diciembre de 2016 a junio de 2017). Se registraron 13,921 tiburones pertenecientes a 9 especies y 3 familias. Triaenodon obesus y Sphyrna lewini fueron las especies dominantes (83.3% de la abundancia total y ocurrencia de 87% y 36%, respectivamente). Al analizar la variabilidad en la abundancia relativa de los tiburones, se encontraron  diferencias significativas entre islas de las cuales Roca Partida presentó lasmayores abundancias. También se encontraron diferencias significativas por especie por isla. No se encontraron diferencias significativas entre temporadas ni entre meses para ninguna de las islas. T. obesus fue la especie más abundante en todas las islas y fue 6 veces más abundante en Roca Partida (37.8 ind./buceo) que en San Benedicto y Socorro (6.6  y 6.2 ind./buceo, respectivamente). La estructura comunitaria se describió mediante un análisis de ordenación nMDS y un ANOSIM, en los que se obtuvieron diferencias significativas entre islas y sitios, pero no entre temporadas y meses. Se obtuvieron diferencias en la composición de tiburones en Roca Partida y El Cañón. Con un análisis SIMPER se definieron las especies representativas de cada sitio. Por último, se construyeron modelos aditivos generalizados para describir la abundancia relativa de las 5 especies más abundantes. Los modelos finales para cada especie explicaron el 90.5%, 67.4%, 76.3%, 78.3% y 75.2% de la variación total de los datos, respectivamente. Los modelos de T. obesus y C. albimarginatus  sugieren que el sitio, las anomalías de temperatura y la intensidad de la corrienteson las variables más importantes para describir la abundancia relativa de estas especies. Asimismo, la isla y la temperatura del mar son las variables que tienen un aporte mayor a los modelos finales de S. lewini y C. galapagensis. ",Censos visuales. Abundancia relativa 
Revillagigedo,"Socorro, Benedicto y Roca Partida ",RP,SB,S,NA,Directo,Tesis maestría ,Peces_o,1,Análisis poblacional,2018,"Biología poblacional del Ángel Clarión (Holacanthus Clarionensis gilbert, 1890) en el Archipiélago de Revillagigedo",A.D. Barba-Jacinto,"El Ángel Clarión (H. clarionensis) alcanza 20 cm (LT), tanto los adultos como juveniles presentan patrones de coloración llamativos. Es una especie endémica cuya distribución geográfica se limita al Pacífico oriental en las Islas Revillagigedo, Clipperton y ocasionalmente dentro del Golfo de California. La especie es clasificada por la Lista Roja como Vulnerable, aparece en la NOM-059-ECOL-2010 como “sujeta a protección especial” y se encuentra dentro del Apéndice II de CITES. No obstante su estatus de conservación, su elevado precio provoca que la especie sea susceptible a capturas ilegales. En el presente estudio se hizo un análisis poblacional del Ángel Clarión. Para lo cual, se hicieron censos visuales a 10, 20 y 30 m de profundidad registrando el número de organismos y tallas por sitio en tres islas del Archipiélago (Roca Partida, San Benedicto e Isla Socorro), además en cada sitio se obtuvieron ejemplares para extracción y análisis de otolitos. Con lo anterior se obtuvo la relación longitud-peso, la proporción de sexos, además de la descripción y comparación de parámetros biológicos (talla, peso, edad, crecimiento, y densidad poblacional). Los resultados indican que la especie tiene un crecimiento isométrico para hembras (b= 2.457) como para machos (b= 2.610) y para sexos combinados (b= 2.634) sin diferencia significativa entre sexos. El pez de mayor talla fue de 26.6 cm representando la talla máxima registrada para la especie. Por su parte la proporción de sexos fue de 2 hembras por cada macho confirmando el emparejamiento en forma de harem del grupo de los pomacántidos. Los parámetros de crecimiento individual de von Bertalanffy arrojaron una L? = 27.57 y un valor de k = 0.09 año-1 que caracteriza a la especie como de crecimiento lento. Se estimó que el organismo de mayor edad fue de 18 años con base en el análisis de otolitos. Finalmente los resultados del análisis de densidad poblacional indicaron que la población del Ángel Clarión del Archipiélago es susceptible a la presencia del fenómeno de “El Niño”, además, con base en el mismo análisis se observó que en Isla Socorro la población pudo haber disminuido en un 50% con respecto a años anteriores, lo que podría obedecer a un efecto combinado entre extracción ilegal y los cambios ambientales. ","Censos visuales, tallas, edad y crecimiento"
Revillagigedo,Todas,RP,SB,S,C,Directo,Artículo,Peces_o,1,Migraciones verticales ,2018,"Vertical habitat utilization by tagged yellowfin tuna (Thunnus albacares) released in the Revillagigedo Archipelago Biosphere Reserve, Mexico","G. Aldana-Flores, M. Dreyfus-León, K.M. Schaefer, J. Madrid-Vera, D. W Fuller, S.G. Castillo-Vargamachuca.","Se describe el uso del hábitat vertical del atún aleta amarilla, Thunnus albacares, capturado y liberado con marca archivadora en la Reserva de la Biosfera Archipiélago de Revillagigedo, México, durante el periodo 2006–2011. Se analizó la serie de datos de temperatura interna, temperatura del ambiente, profundidad y hora del día almacenados en 68 marcas archivadoras recuperadas de los atunes capturados, en su mayoría, en lances pesqueros asociados a delfines por barcos cerqueros atuneros de bandera Mexicana. Los atunes fueron clasificados para su análisis en 3 grupos de edad (I, II y III). Los movimientos verticales se analizaron dividiendo la columna de agua en 10 estratos de profundidad. Los 3 grupos de edad invirtieron más tiempo en el estrato superficial (0–25 m) y su presencia fue disminuyendo a medida que fue aumentando la profundidad, con visitas ocasionales a profundidades mayores que 500 m. En el estrato de >500 m, el grupo de edad III, fue el que más tiempo invirtió con un promedio de 45 min. La presencia a diferentes profundidades a lo largo del día mostró diferencias significativas entre los grupos de edad (prueba ?2 de Wald, P < 0.05). La adaptación fisiológica del AAA para mantener cambios mínimos en su temperatura interna a diferentes profundidades es una ventaja para ampliar la búsqueda de alimento en zonas profundas donde la temperatura del ambiente osciló alrededor de los 5 ºC.","Captura, clasificación en grupos de edad a diferentes profundidades"
Revillagigedo,Todas,RP,SB,S,C,Directo,Estudio Previo Justificativo,Manejo ANP,1,Manejo ANP,2017,Estudio Previo Justificativo para la declaratoria del Parque Nacional Revillagigedo.,CONANP,,
Revillagigedo,Todas,RP,SB,S,C,Comparación,Tesis,Invertebrados,1,Taxonomía,2017,Esponjas marinas verongidas (Porifera: Verongiida) del Norte del Pacífico Mexicano y Golfo de California,"Hoffman-Ramírez, Z. S.","Estudio detallado de las esponjas marinas Verongiida en el norte del Pacífico mexicano y en el Golfo de California, que incluye descripciones de especies y su ecología, así como una discusión sobre su conservación y el impacto del cambio climático en estos organismos.",Taxonomía
Revillagigedo,Todas,RP,SB,S,C,Directo,Informe técnico,Manejo ANP,1,Conservación,2017,"Archipiélago de Revillagigedo: Biodiversidad, amenazas y necesidades de conservación","Aburto-Oropeza, O., Ballesteros, E., Ezcurra, E., Friedlander, A., Henning, B., Hoyos, M., Johnson, A., Mascareñas-Osorio, I., Mayorga, J., Muñoz, A., Salinas de León, P., Sánchez-Ortiz, C., Thompson, C. y Sala, E. ","Brindan una descripción completa de los desafíos de biodiversidad y conservación del Archipiélago de Revillagigedo. El estudio describe la flora y fauna únicas de las islas, incluidas varias especies endémicas, y destaca las amenazas que enfrentan debido a las actividades humanas, como la sobrepesca, la caza furtiva ilegal y la contaminación. Además se discute el marco legal e institucional para la conservación en el archipiélago y proponen una serie de medidas de conservación para proteger sus ecosistemas y biodiversidad, como la creación de áreas marinas protegidas y la implementación de prácticas de pesca sostenible",
